vaccine,activity_type,country_code,country,year,age_first,age_last,target,coverage,gender,proportion_risk
HPV,routine,ALB,Albania,2006,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2007,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2008,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2009,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2010,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2011,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2012,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2013,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2014,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2015,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2016,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2017,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2018,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2019,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2020,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2021,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2022,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2023,14,14,<NA>,0,female,1
HPV,routine,ALB,Albania,2024,14,14,<NA>,0.18,female,1
HPV,routine,AND,Andorra,2006,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2007,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2008,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2009,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2010,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2011,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2012,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2013,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2014,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2015,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2016,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2017,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2018,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2019,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2020,14,14,<NA>,0,female,1
HPV,routine,AND,Andorra,2021,14,14,<NA>,0.49,female,1
HPV,routine,AND,Andorra,2022,14,14,<NA>,0.64,female,1
HPV,routine,AND,Andorra,2023,14,14,<NA>,0.77,female,1
HPV,routine,AND,Andorra,2024,14,14,<NA>,0.83,female,1
HPV,routine,ATG,Antigua and Barbuda,2006,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2007,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2008,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2009,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2010,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2011,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2012,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2013,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2014,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2015,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2016,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2017,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2018,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2019,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2020,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2021,14,14,<NA>,0,female,1
HPV,routine,ATG,Antigua and Barbuda,2022,14,14,<NA>,0.02,female,1
HPV,routine,ATG,Antigua and Barbuda,2023,14,14,<NA>,0.02,female,1
HPV,routine,ATG,Antigua and Barbuda,2024,14,14,<NA>,0.01,female,1
HPV,routine,ARG,Argentina,2006,14,14,<NA>,0,female,1
HPV,routine,ARG,Argentina,2007,14,14,<NA>,0,female,1
HPV,routine,ARG,Argentina,2008,14,14,<NA>,0,female,1
HPV,routine,ARG,Argentina,2009,14,14,<NA>,0,female,1
HPV,routine,ARG,Argentina,2010,14,14,<NA>,0,female,1
HPV,routine,ARG,Argentina,2011,14,14,<NA>,0,female,1
HPV,routine,ARG,Argentina,2012,14,14,<NA>,0,female,1
HPV,routine,ARG,Argentina,2013,14,14,<NA>,0,female,1
HPV,routine,ARG,Argentina,2014,14,14,<NA>,0,female,1
HPV,routine,ARG,Argentina,2015,14,14,<NA>,0,female,1
HPV,routine,ARG,Argentina,2016,14,14,<NA>,0.43,female,1
HPV,routine,ARG,Argentina,2017,14,14,<NA>,0.6,female,1
HPV,routine,ARG,Argentina,2018,14,14,<NA>,0.6,female,1
HPV,routine,ARG,Argentina,2019,14,14,<NA>,0.6,female,1
HPV,routine,ARG,Argentina,2020,14,14,<NA>,0.72,female,1
HPV,routine,ARG,Argentina,2021,14,14,<NA>,0.63,female,1
HPV,routine,ARG,Argentina,2022,14,14,<NA>,0.71,female,1
HPV,routine,ARG,Argentina,2023,14,14,<NA>,0.7,female,1
HPV,routine,ARG,Argentina,2024,14,14,<NA>,0.67,female,1
HPV,routine,ARM,Armenia,2006,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2007,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2008,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2009,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2010,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2011,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2012,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2013,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2014,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2015,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2016,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2017,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2018,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2019,14,14,<NA>,0,female,1
HPV,routine,ARM,Armenia,2020,14,14,<NA>,0.02,female,1
HPV,routine,ARM,Armenia,2021,14,14,<NA>,0.16,female,1
HPV,routine,ARM,Armenia,2022,14,14,<NA>,0.08,female,1
HPV,routine,ARM,Armenia,2023,14,14,<NA>,0.14,female,1
HPV,routine,ARM,Armenia,2024,14,14,<NA>,0.41,female,1
